descripcion,precio,titulo
['El vendedor no incluyó una descripción del producto'],['24'],['Guantes Para Motociclista Impermeables']
"['Contiene cintas reflexivas', 'Composición', '50% POLIESTER', '50% POLIURETANO', 'Forro', '100% POLIESTER', 'color negro con rojo', 'color negro con azul', 'color negro con baige']",['24'],"['Guantes Para Motociclista Térmicos, Impermeables']"
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['Talla S,M,L']",['12'],"['Guantes Para Motociclista Táctiles, Térmicos, Semipermeables']"
['GUANTES ORIGINALES IMPERMEABLES'],['29'],['Guantes Impermeables Originales . 100% Producto Garantizado']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
['El vendedor no incluyó una descripción del producto'],['19'],['10 Pares De Guantes De Operador De Cuero Color Dorado Oscuro']
"['GUANTE LARGO ""M"" Moxal', 'Características:', 'Color: Azul', 'Color principal: Negro', 'Condición del ítem: Nuevo', 'Marca: Moxal', 'Modelo: GL-17', 'MPN: 01.018.0294', 'Talle: M', 'GUANTE LARGO ""M"" NEG/AZU - GL-17 - MOXAL - CHINA']",['14'],['Guante Largo  M  Moxal']
"['R21 Tactical', 'Puño con tecnología patentada SuperCuff.', 'Relleno segmentado de 6 mm en los nudillos, crea una protección que se mueve contigo.', 'Diseño de dos capas en la punta de los dedos da una sensación táctil máxima sin comprometer la destreza', 'Debe estar seguro antes de dar comprar, en caso de no concretar la compra con cualquiera de las forma de pago expuestas antes se calificara NEGATIVO.', 'Envíos a Cargo del Comprador']",['92'],['Guantes Tactical Ringers 577-09 T.m Le Tactical Blk B-21 R23']
['El vendedor no incluyó una descripción del producto'],['61'],['Guantes De Moto Masontex M']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
"['91% Cuero', '5% Neopreno', '3% Nylon', '1% Poliuretano', 'Recubrimiento: 100% Poliéster', 'Protecciones: 100% Pvc', '• Guantes de cuero de larga duración', '• Perforaciones transpirables para mayor comodidad', '• Acolchado extra protector', '• Correa ajustable para un mejor ajuste', '• Agarre firme con textura de cuero rugosa', '• Impermeables', 'Número de modelo: AAA', 'Material: Cuero', 'Tabla de tallas:', 'M: tamaño de la palma 20 cm/7,87 pulgadas, ancho 8 cm/3,15 pulgadas', 'L: tamaño de la palma 21 cm/8,26 pulgadas, ancho 8,5 cm/3,34 pulgadas', 'XL: tamaño de la palma 22 cm/8,66 pulgadas, ancho 9 cm/3,54 pulgadas', 'XXL: tamaño de la palma 23 cm/9 pulgadas, ancho 9,5 cm/3,74 pulgadas']",['49'],['Guantes De Motociclista De Cuero Impermeable Furygan']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---', 'GUANTES DE BOXEO EVERLAST 12 Y 14 ONZAS:', '- Protegen las manos / previenen lesiones.', '- Disminuyen el impacto de los golpes.', '- Proporcionan mejor agarre y control.', '- Mejoran la comodidad y evitan lesiones innecesarias.', 'Obsequio. Vendas de Boxeo Everlast', '---SOMOS NATURAL ECUADOR FITNESS 5 AÑOS EN EL MERCADO---']",['28'],['Guantes De Boxeo Everlast 12 Y 14 Oz - Guantes De Box']
"['GUANTE LARGO ""L"" Moxal', 'Características:', 'Color: Negro', 'Color principal: Negro', 'Condición del ítem: Nuevo', 'Marca: Moxal', 'Modelo: GL-19', 'MPN: 01.018.0313', 'Talle: L', 'GUANTE LARGO ""L"" NEG - GL-19 - MOXAL - CHINA']",['20'],['Guante Largo  L  Moxal']
"['Guante Certificado SFI 3.3/10 para Automovilismo.', 'Antiflama, antiimpacto, muy ductil.', 'Como Equipo de Protección:', 'Protege las manos durante las operaciones de seguridad, rescate y repostaje en el uso diario e trabajo. CarbonX® Level 10 está construido con cuero genuino de cabra y respaldado con tres capas superiores de tejido elástico CarbonX® ignífugo con protección contra riesgos térmicos EN407:2004 .', 'Certificación Materiales: EN407:2004: Guantes de protección contra riesgos térmicos EN388:2016: Guantes de protección contra los riesgos mecánicos Arco Eléctrico CAT4 con 41.8 cal/cm2.', 'Colores: Negro', 'Descripción: Los nudillos de tipo acordeón y alta densidad ofrecen protección en situaciones extremas, mientras que el puño elástico extendido mantiene el guante de forma segura en su posición.', 'Talla: M,L,XL', 'Garantía del vendedor: 1 años']",['169'],['Guante Mechanix - Carbonx Level10 Piloto Carreras Sfi 3.3/10']
"['Disponemos de gran variedad de productos a precios increíbles con una excelente atención y puntualidad.', '', 'VENTAS AL POR MAYOR Y MENOR', 'Guantes de moto resistentes de diferentes colores.', 'Felicitaciones, va a tener un producto de buena calidad en sus manos.', '', '“Somos profesionales de cuarto nivel en el área de la salud, ventas y sabemos lo que necesitas”..', '· Hacemos entregas a nivel nacional por Servíentrega, Tramaco Express y transporte.', '', 'PARA MAS INFORMACIÓN DE CLICK EN COMPRAR PARA QUE NOS PUEDA CONTACTAR DIRECTAMENTE.']",['10'],['Guantes De Moto']
"['Guantes de Cuero para Motociclistas', 'Talla L – Mujer', 'Carcasa reforzada en las articulaciones', 'Tiene correa para muñeca y cierre de velcro', 'Agarre y control perfectos, ofrece una gran protección para su mano. Proporciona la máxima protección a la vez que es increíblemente cómoda.', 'Las imágenes son reales del producto', 'Norte de Quito Sector Carcelén, somos Electro Express', 'Se Realiza Envíos a todo el Ecuador por medio de Servientrega, costo adicional', 'TODA COMPRA NO CONCRETADA SERA CALIFICADA COMO NEGATIVO']",['45'],['Guantes De Cuero Para Motociclistas Winroad - Talla L Mujer']
"['- Dedo completo', '- Material de pantalla táctil en el dedo índice para un uso cómodo de dispositivos móviles sin mover guantes y velcro ajustable en la muñeca para un ajuste cómodo.', '- Adopta una construcción ligera, larga vida útil en conducción ligera.', '- Diseño ergonómico especial, proporciona la máxima protección para tu', '- Logotipos y gráficos de goma de inyección directa', '- Diseño deportivo', '- Protección a los nudillos', '- Resistente a la abrasión', '- Antiderrapante en palmas y dedos.', '- Productos 100% nuevos de paquete']",['8'],['Guantes De Motociclismo Antideslizante Térmicos Protección']
"['Guantes Tactico Moto Oakley Flexion Originales', 'Características', 'Protección de TPR moldeada y flexible que protege contra impactos y abrasiones', 'La palma acolchada y ventilada brinda comodidad acolchada y un flujo de aire mejorado', 'Velcro el cierre de muñeca ofrece un ajuste ceñido y ajustable', '50% poliéster, 36% nailon, 9% elastano, 5% goma', 'Color: Negro / caqui', 'RECUERDA QUE SOMOS MERCADOLIDER, UNO DE LOS MEJORES EN EL SITIO. ANÍMATE!!!', 'Si tienes cualquier duda no dudes en preguntar.', '------------Envío a nivel Nacional previo pago------------', '-Preguntar por disponibilidad de stock, antes de hacer su compra.', 'TAMBIÉN PUEDES RECOGERLO PERSONALMENTE EN NUESTRO LOCAL FÍSICO. (Horarios de Atención de lunes a Viernes de 10 a 20 horas – Sábados previa cita)', '', '- PRODUCTOS TOTALMENTE NUEVOS DE PAQUETE', '- ENTREGA INMEDIATA', '- PRODUCTOS GARANTIZADOS', '- ENVÍOS A PROVINCIAS PREVIO DEPOSITO BANCARIO', '- ENVÍOS POR SERVIENTREGA (TIEMPO DE ENTREGA DE 24 A 48 HORAS)', '- COSTO DE ENVÍO EN QUITO: 3 DOLARES', '- COSTO DE ENVÍO A PROVINCIAS: 5 DOLARES', 'OJO: AL HACER LA COMPRA TE SALDRÁN NUESTROS DATOS', 'FAVOR CONTÁCTATE PARA HACER LA ENTREGA Y PAGO DEL PRODUCTO']",['17'],['Guantes Tactico Moto Oakley Flexion Originales']
"['Tacticos Guantes de cuerina cálida. Guantes deportivos de moda. Guantes de motocicleta impermeables de invierno.', 'Color: Negro.', 'Material: Cuerina sintetica antideslizante.', 'Tamaño: bajo pedido.', 'Modelo sencillo para: Hombres y mujeres.', 'Aplicable: Motociclismo, Ciclismo, Correr, Patinaje, Esquí, etc.', 'Características:', 'Tacticos con la punta del dedo, evita el viento y el frío a prueba de agua, suave y cómodo.', 'Palma antideslizante.', 'Permita una desviación de medición de 1-2 cm debido a la medición manual. Debido a varios monitores y condiciones de iluminación, los colores pueden ser ligeramente diferentes de las fotos enumeradas.', 'El paquete incluye: 1 par de guantes.', 'Precio promocional es de $6 dolares', 'Esta compra es segura y confiable.', 'La promocion puede terminar sin previo aviso.', 'Comunicate y confirma tu pedido.', 'Visitanos en Quito, Sector Mitad del Mundo', 'Pagina oficial unttrela corporation', 'Garantía del vendedor: 3 meses']",['6'],['Guantes Cuerina Cálida Simples Tacticos Impermeables Inviern']
"['Guantes Para Moto Con Protección De Nudillos', 'ANDINA DISTRIBUIDORA', 'características del producto:', '- Talla: XL y L', '- Guantes para Motocicleta', '- Con protección de nudillos', '- Ajuste de muñeca con velcro', '- Antideslizantes', '- Producto nuevo', 'EXCELENTE CALIDAD', 'ENTREGA INMEDIATA', 'PRODUCTO 100% NUEVO']",['12'],['Guantes Para Moto  Con Protección De Nudillos']
"['– Palma de punto plastificado para resistencia y agarre.', '– Protecciones anticolisión en la mano y dedos.', '– Dedos con sello de goma protector.', '– Pantalla táctil en pulgar, medio y dedo índice.', '– Correa de muñeca ajustable con velcro.', '– Ideal para motocross, ciclismo y actividades al aire libre.', 'Garantía del vendedor: 1 días']",['11'],['Guantes City Proteccion De Dedo Para Motocicleta']
"['Los Guantes Rockbros Con Gel son la elección perfecta para los motociclistas que buscan comodidad y protección en cada viaje. Fabricados con una combinación de cuero, nylon spandex y SBR, estos guantes ofrecen una durabilidad excepcional y un ajuste perfecto. Su diseño sin dedos permite una mayor libertad de movimiento, ideal para quienes practican un estilo de conducción deportivo.', 'El gel incorporado en la palma proporciona un excelente amortiguamiento, reduciendo la fatiga en las manos durante largas jornadas de conducción. Con un estilo moderno y funcional, estos guantes son adecuados para cualquier motociclista que valore tanto la estética como la funcionalidad.', 'Con dos pares incluidos, tendrás la versatilidad necesaria para adaptarte a diferentes condiciones y estilos de conducción. Los Guantes Rockbros S109 son una inversión en tu seguridad y confort, permitiéndote disfrutar de cada kilómetro con confianza.']",['22'],['Guantes Rockbros Con Gel']
"['- Guantes de protección contra abrasiones y rasguños, ideales para motociclismo.', '- Material de tela transpirable, cómodo para climas cálidos, resistente al calor, rasgaduras, agua, suciedad y aceite', '- Cierre ajustable con velcro en la muñeca, fácil de poner y quitar.', '- Diseño con malla transpirable y protección completa con carcasa de goma, espuma absorbente de impactos y estructura resistente a caídas.', '- Rojo / Azul / Negro']",['4'],['Guantes De Motociclismo Medio Dedo Antideslizante Protección']
"['El vendedor no incluyó una descripción del producto', 'Garantía del vendedor: 1 días']",['15'],['Guante Para Moto City']
['Guantes Para Motociclista Impermeables'],['27'],['Guantes Para Motociclista']
"['Guante bicolor n/a # 7 c22 master', '..', '', 'Si tiene alguna duda o desea mas información del producto. Con mucho gusto puede realizar sus preguntas en la parte inferior de la publicación. Nuestra empresa realiza envíos a todo el Ecuador y emitimos factura autorizada por el SRI.']",['2'],['Guante Bicolor N/a # 7 C22 Master']
"['– Palma de punto plastificado para resistencia y agarre.', '– Protecciones anticolisión en la mano y dedos.', '– Dedos con sello de goma protector.', '– Pantalla táctil en pulgar, medio y dedo índice.', '– Correa de muñeca ajustable con velcro.', '– Ideal para motocross, ciclismo y actividades al aire libre.']",['11'],['Guantes City Proteccion Pantalla Táctil De Dedo Motocicleta']
"['Disponemos de gran variedad de productos a precios increíbles con una excelente atención y puntualidad.', 'VENTAS AL POR MAYOR Y MENOR', 'Guantes FOX de diferentes colores y tamaños', '', 'Felicitaciones, va a tener un producto de buena calidad en sus manos.', '“Somos profesionales de cuarto nivel en el área de la salud, ventas y sabemos lo que necesitas”..', '· Hacemos entregas a nivel nacional por Servíentrega, Tramaco Express y transporte.', '', '· Entregas dentro de la ciudad de Ambato el mismo día del pedido.', '', 'PARA MAS INFORMACIÓN DE CLICK EN COMPRAR PARA QUE NOS PUEDA CONTACTAR DIRECTAMENTE.']",['15'],['Guantes Fox']
"['GUANTE LARGO ""L"" Moxal', 'Características:', 'Color: Negro', 'Color principal: Negro', 'Condición del ítem: Nuevo', 'Marca: Moxal', 'Modelo: GL-19', 'MPN: 01.018.0313', 'Talle: L', 'GUANTE LARGO ""L"" NEG - GL-19 - MOXAL - CHINA']",['20'],['Guante Largo  L  Moxal']
"['Guante Certificado SFI 3.3/10 para Automovilismo.', 'Antiflama, antiimpacto, muy ductil.', 'Como Equipo de Protección:', 'Protege las manos durante las operaciones de seguridad, rescate y repostaje en el uso diario e trabajo. CarbonX® Level 10 está construido con cuero genuino de cabra y respaldado con tres capas superiores de tejido elástico CarbonX® ignífugo con protección contra riesgos térmicos EN407:2004 .', 'Certificación Materiales: EN407:2004: Guantes de protección contra riesgos térmicos EN388:2016: Guantes de protección contra los riesgos mecánicos Arco Eléctrico CAT4 con 41.8 cal/cm2.', 'Colores: Negro', 'Descripción: Los nudillos de tipo acordeón y alta densidad ofrecen protección en situaciones extremas, mientras que el puño elástico extendido mantiene el guante de forma segura en su posición.', 'Talla: M,L,XL', 'Garantía del vendedor: 1 años']",['169'],['Guante Mechanix - Carbonx Level10 Piloto Carreras Sfi 3.3/10']
"['Disponemos de gran variedad de productos a precios increíbles con una excelente atención y puntualidad.', '', 'VENTAS AL POR MAYOR Y MENOR', 'Guantes de moto resistentes de diferentes colores.', 'Felicitaciones, va a tener un producto de buena calidad en sus manos.', '', '“Somos profesionales de cuarto nivel en el área de la salud, ventas y sabemos lo que necesitas”..', '· Hacemos entregas a nivel nacional por Servíentrega, Tramaco Express y transporte.', '', 'PARA MAS INFORMACIÓN DE CLICK EN COMPRAR PARA QUE NOS PUEDA CONTACTAR DIRECTAMENTE.']",['10'],['Guantes De Moto']
"['Guantes de Cuero para Motociclistas', 'Talla L – Mujer', 'Carcasa reforzada en las articulaciones', 'Tiene correa para muñeca y cierre de velcro', 'Agarre y control perfectos, ofrece una gran protección para su mano. Proporciona la máxima protección a la vez que es increíblemente cómoda.', 'Las imágenes son reales del producto', 'Norte de Quito Sector Carcelén, somos Electro Express', 'Se Realiza Envíos a todo el Ecuador por medio de Servientrega, costo adicional', 'TODA COMPRA NO CONCRETADA SERA CALIFICADA COMO NEGATIVO']",['45'],['Guantes De Cuero Para Motociclistas Winroad - Talla L Mujer']
"['- Dedo completo', '- Material de pantalla táctil en el dedo índice para un uso cómodo de dispositivos móviles sin mover guantes y velcro ajustable en la muñeca para un ajuste cómodo.', '- Adopta una construcción ligera, larga vida útil en conducción ligera.', '- Diseño ergonómico especial, proporciona la máxima protección para tu', '- Logotipos y gráficos de goma de inyección directa', '- Diseño deportivo', '- Protección a los nudillos', '- Resistente a la abrasión', '- Antiderrapante en palmas y dedos.', '- Productos 100% nuevos de paquete']",['8'],['Guantes De Motociclismo Antideslizante Térmicos Protección']
"['Guantes Para Moto Con Protección De Nudillos', 'ANDINA DISTRIBUIDORA', 'características del producto:', '- Talla: XL y L', '- Guantes para Motocicleta', '- Con protección de nudillos', '- Ajuste de muñeca con velcro', '- Antideslizantes', '- Producto nuevo', 'EXCELENTE CALIDAD', 'ENTREGA INMEDIATA', 'PRODUCTO 100% NUEVO']",['12'],['Guantes Para Moto  Con Protección De Nudillos']
"['– Palma de punto plastificado para resistencia y agarre.', '– Protecciones anticolisión en la mano y dedos.', '– Dedos con sello de goma protector.', '– Pantalla táctil en pulgar, medio y dedo índice.', '– Correa de muñeca ajustable con velcro.', '– Ideal para motocross, ciclismo y actividades al aire libre.', 'Garantía del vendedor: 1 días']",['11'],['Guantes City Proteccion De Dedo Para Motocicleta']
"['Los Guantes Rockbros Con Gel son la elección perfecta para los motociclistas que buscan comodidad y protección en cada viaje. Fabricados con una combinación de cuero, nylon spandex y SBR, estos guantes ofrecen una durabilidad excepcional y un ajuste perfecto. Su diseño sin dedos permite una mayor libertad de movimiento, ideal para quienes practican un estilo de conducción deportivo.', 'El gel incorporado en la palma proporciona un excelente amortiguamiento, reduciendo la fatiga en las manos durante largas jornadas de conducción. Con un estilo moderno y funcional, estos guantes son adecuados para cualquier motociclista que valore tanto la estética como la funcionalidad.', 'Con dos pares incluidos, tendrás la versatilidad necesaria para adaptarte a diferentes condiciones y estilos de conducción. Los Guantes Rockbros S109 son una inversión en tu seguridad y confort, permitiéndote disfrutar de cada kilómetro con confianza.']",['22'],['Guantes Rockbros Con Gel']
"['Los Guantes Rockbros Con Gel son la elección perfecta para los motociclistas que buscan comodidad y protección en cada viaje. Fabricados con una combinación de cuero, nylon spandex y SBR, estos guantes ofrecen una durabilidad excepcional y un ajuste perfecto. Su diseño sin dedos permite una mayor libertad de movimiento, ideal para quienes practican un estilo de conducción deportivo.', 'El gel incorporado en la palma proporciona un excelente amortiguamiento, reduciendo la fatiga en las manos durante largas jornadas de conducción. Con un estilo moderno y funcional, estos guantes son adecuados para cualquier motociclista que valore tanto la estética como la funcionalidad.', 'Con dos pares incluidos, tendrás la versatilidad necesaria para adaptarte a diferentes condiciones y estilos de conducción. Los Guantes Rockbros S109 son una inversión en tu seguridad y confort, permitiéndote disfrutar de cada kilómetro con confianza.']",['22'],['Guantes Rockbros Con Gel']
"['Los Guantes Rockbros Con Gel son la elección perfecta para los motociclistas que buscan comodidad y protección en cada viaje. Fabricados con una combinación de cuero, nylon spandex y SBR, estos guantes ofrecen una durabilidad excepcional y un ajuste perfecto. Su diseño sin dedos permite una mayor libertad de movimiento, ideal para quienes practican un estilo de conducción deportivo.', 'El gel incorporado en la palma proporciona un excelente amortiguamiento, reduciendo la fatiga en las manos durante largas jornadas de conducción. Con un estilo moderno y funcional, estos guantes son adecuados para cualquier motociclista que valore tanto la estética como la funcionalidad.', 'Con dos pares incluidos, tendrás la versatilidad necesaria para adaptarte a diferentes condiciones y estilos de conducción. Los Guantes Rockbros S109 son una inversión en tu seguridad y confort, permitiéndote disfrutar de cada kilómetro con confianza.']",['22'],['Guantes Rockbros Con Gel']
"['El vendedor no incluyó una descripción del producto', 'Garantía del vendedor: 1 días']",['15'],['Guante Para Moto City']
['Guantes Para Motociclista Impermeables'],['27'],['Guantes Para Motociclista']
"['Disponemos de gran variedad de productos a precios increíbles con una excelente atención y puntualidad.', 'VENTAS AL POR MAYOR Y MENOR', 'Guantes FOX de diferentes colores y tamaños', '', 'Felicitaciones, va a tener un producto de buena calidad en sus manos.', '“Somos profesionales de cuarto nivel en el área de la salud, ventas y sabemos lo que necesitas”..', '· Hacemos entregas a nivel nacional por Servíentrega, Tramaco Express y transporte.', '', '· Entregas dentro de la ciudad de Ambato el mismo día del pedido.', '', 'PARA MAS INFORMACIÓN DE CLICK EN COMPRAR PARA QUE NOS PUEDA CONTACTAR DIRECTAMENTE.']",['15'],['Guantes Fox']
